train/loss,train/epoch,train/grad_norm,train/global_step,train/learning_rate,_step,_runtime,_timestamp
2.0338,0.0022662889518413596,0.8486219644546509,1,0.0,0,21.450458686,1773668167.7828536
1.9056,0.004532577903682719,0.6249291300773621,2,4e-05,1,31.696463543,1773668178.028742
2.0408,0.018130311614730877,0.9695615768432617,8,0.00019959798994974876,7,88.361670211,1773668234.694063
1.6214,0.020396600566572238,0.7069964408874512,9,0.00019939698492462313,8,97.43111769,1773668243.7636108
1.4007,0.0226628895184136,0.7166701555252075,10,0.0001991959798994975,9,106.713213832,1773668253.0457067
1.1769,0.027195467422096317,0.9277954697608948,12,0.00019879396984924622,11,122.937655869,1773668269.2701643
0.7796,0.0339943342776204,0.7733781337738037,15,0.00019819095477386937,14,151.641577367,1773668297.9740615
0.5529,0.038526912181303115,0.75465989112854,17,0.0001977889447236181,16,169.138695182,1773668315.4710119
0.5438,0.040793201133144476,0.684100866317749,18,0.00019758793969849249,17,178.992397869,1773668325.3247766
0.4388,0.0453257790368272,0.6820720434188843,20,0.0001971859296482412,19,196.290649167,1773668342.6231632
0.253,0.06345609065155808,0.49435657262802124,28,0.0001955778894472362,27,273.153163442,1773668419.4856353
0.3003,0.06572237960339944,0.6496861577033997,29,0.00019537688442211056,28,281.976771398,1773668428.309234
0.2562,0.07025495750708215,0.6363276243209839,31,0.0001949748743718593,30,300.312024287,1773668446.6445134
0.2446,0.07252124645892351,0.4057081937789917,32,0.00019477386934673368,31,308.884126766,1773668455.2165082
0.3959,0.07705382436260623,0.47075048089027405,34,0.00019437185929648243,33,327.380487761,1773668473.712806
0.2657,0.09518413597733712,0.24785928428173065,42,0.0001927638190954774,41,407.484164731,1773668553.816537
0.2133,0.09745042492917846,0.33270880579948425,43,0.00019256281407035178,42,418.912687601,1773668565.2451723
0.1982,0.09971671388101983,0.3337087035179138,44,0.00019236180904522613,43,428.445186288,1773668574.7774825
0.2364,0.10198300283286119,0.3376254439353943,45,0.0001921608040201005,44,437.679708893,1773668584.0121915
0.2155,0.10424929178470255,0.2674659788608551,46,0.0001919597989949749,45,447.282322203,1773668593.6146567
0.2491,0.10651558073654391,0.2913888394832611,47,0.00019175879396984925,46,458.391286068,1773668604.7237613
0.164,0.10878186968838527,0.23993045091629028,48,0.00019155778894472362,47,468.232078129,1773668614.5644562
0.1784,0.11104815864022663,0.31364330649375916,49,0.000191356783919598,48,477.069231119,1773668623.4017293
0.3314,0.12011331444759207,0.2622261345386505,53,0.00019055276381909548,52,516.155520757,1773668662.487691
0.2805,0.12464589235127478,0.32443374395370483,55,0.00019015075376884423,54,536.0568352,1773668682.3892052
